"KMeanLabel","long_ref","lat_ref","st_width","length","start_point_lat","start_point_long","end_point_lat","end_point_long","accident_no","speed_lim","construction_no","event_no","congestion_no","delays_no","vehicle_breakdown_no","fire_no","signal_problem_no","weather_incident_no"
"68",-73.9427847306956,40.8167370105819,39.3103448275862,0.0798190026201216,40.8163977703296,-73.9423899177838,40.8170762508341,-73.9431795436074,2.3448275862069,25,0.275862068965517,0.551724137931034,0,0,0,0,0,0
"69",-73.9755273601431,40.7191526981613,29.375,0.0472320615533938,40.71893332418,-73.9756556797705,40.7193720721426,-73.9753990405158,1.5625,24.8958333333333,2.66666666666667,0.25,0.0208333333333333,0.166666666666667,0.5,0.208333333333333,0,0.0625
"70",-73.9742120500561,40.7384235239977,25.1794871794872,0.0765284541882412,40.7381868426736,-73.9745140565678,40.7386602053218,-73.9739100435445,8.76923076923077,25,16.2051282051282,3.15384615384615,0.0256410256410256,2.28205128205128,6.61538461538461,0.846153846153846,0.0256410256410256,0.282051282051282
"71",-73.930656057409,40.8464606337607,31.7822580645161,0.040171482363446,40.8463443997707,-73.9307065042834,40.8465768677507,-73.9306056105347,2.57258064516129,25,1.95161290322581,0.274193548387097,0,1.63709677419355,1.0241935483871,0.0887096774193548,0.185483870967742,0.0483870967741935
"72",-73.9436474882147,40.7895093200482,53.625,0.0720554658279901,40.7895293920696,-73.9441609464804,40.7894892480268,-73.9431340299489,3.3125,25,0.40625,0.625,0,0,0,0,0,0
"73",-73.9202771744066,40.7970593716499,29.1951219512195,0.0594444792266483,40.7970736323758,-73.9202315608108,40.797045110924,-73.9203227880024,15.1463414634146,26.280487804878,58.3414634146341,1.5,0.0975609756097561,33.2317073170732,6.85365853658537,1.02439024390244,0.817073170731707,1.98780487804878
"74",-73.9919607651797,40.7625547250273,46.6764705882353,0.0931503640529017,40.7621660098268,-73.9914665346761,40.7629434402278,-73.9924549956834,6,29.7058823529412,1.17647058823529,1.17647058823529,0.0294117647058824,0,0.0294117647058824,0.0588235294117647,0,0
"75",-73.9863601243538,40.7281288536748,45.3939393939394,0.0901355680460062,40.728225021791,-73.9870334050715,40.7280326855586,-73.9856868436361,3.6969696969697,21.969696969697,0.151515151515152,0.272727272727273,0,0,0,0.0606060606060606,0,0
"76",-74.010534916392,40.7255374491727,36.3846153846154,0.0553106763470508,40.7253147054097,-74.0103641899111,40.7257601929357,-74.010705642873,1.44230769230769,25,13.25,0.846153846153846,6.15384615384615,7.13461538461539,0.442307692307692,0,0,0.0192307692307692
"77",-73.9625554567117,40.796966664118,48.7931034482759,0.0673544393589346,40.7966319062986,-73.9624960187433,40.7973014219375,-73.96261489468,1.6551724137931,25,0.137931034482759,0.413793103448276,0,0,0,0.0344827586206897,0.103448275862069,0
"78",-73.9756706758059,40.7961364841506,29.8064516129032,0.0925385131351187,40.7957459054811,-73.9756977969832,40.7965270628202,-73.9756435546287,3.12903225806452,25,20.2903225806452,1.87096774193548,0.161290322580645,0.741935483870968,0.32258064516129,0.225806451612903,0.0967741935483871,0.387096774193548
"79",-74.0057040917148,40.7528562956009,45.84375,0.0924362350161262,40.7524026759053,-74.0054396336045,40.7533099152965,-74.0059685498252,3.0625,32.8125,1.28125,1.40625,0,0,0,0,0,0
"80",-73.9363925246767,40.8082414270744,31.5909090909091,0.0616719101706577,40.8080920181902,-73.9366553115905,40.8083908359585,-73.9361297377629,1.88636363636364,25,0.681818181818182,0,0,5,0.0454545454545455,0.0454545454545455,0,0
"81",-73.9601719423509,40.7665126939259,47.1578947368421,0.0772164055710168,40.7665500984821,-73.9607254554852,40.7664752893697,-73.9596184292166,4.34210526315789,25,1.13157894736842,1.10526315789474,0.0789473684210526,0,0,0.105263157894737,0,0
"82",-73.9460082833686,40.8381428781108,33.2142857142857,0.112120887482715,40.8375249238474,-73.9459837067373,40.8387608323743,-73.9460328599999,1.28571428571429,25.5357142857143,0,0,0,0,0,0,0,0
"83",-73.9529717952325,40.8247840441488,33.6610169491525,0.0632945793762695,40.8244726561591,-73.9529902498189,40.8250954321384,-73.9529533406461,0.949152542372881,25,0.322033898305085,0.0508474576271186,0,0,0,0.0338983050847458,0,0.0169491525423729
"84",-73.9475675171598,40.7639317971763,25.5483870967742,0.0445728141172863,40.7637635491925,-73.9475621591985,40.76410004516,-73.9475728751211,11.6774193548387,25,30.4838709677419,4.7741935483871,0.193548387096774,12.3548387096774,3.67741935483871,0.709677419354839,2.32258064516129,0.741935483870968
"85",-73.9887603936775,40.7568794822521,49.4,0.0968841481002091,40.7564749778843,-73.9882337926505,40.7572839866199,-73.9892869947044,55.7666666666667,25,16.7666666666667,21.5666666666667,9.43333333333333,4.06666666666667,0,0.766666666666667,1.1,1.13333333333333
"86",-73.9882153845099,40.7431230451512,41.5526315789474,0.0644331275919633,40.7429426836515,-73.9882619822072,40.7433034066509,-73.9881687868127,4.94736842105263,25,0.368421052631579,4.44736842105263,0,0.0263157894736842,0,0.0789473684210526,0.0263157894736842,0
"87",-73.9749182169467,40.7790372056523,47.2857142857143,0.0907729616190883,40.7785731520575,-73.9747824588144,40.7795012592471,-73.9750539750791,3.10714285714286,25,3,5.53571428571429,0.0714285714285714,0.0357142857142857,0,0.142857142857143,0.428571428571429,0.142857142857143
"88",-74.0101983730575,40.7214432566847,38.3404255319149,0.053093180009522,40.7212150794211,-74.0100194765402,40.7216714339483,-74.0103772695748,2.04255319148936,25,20.468085106383,1.78723404255319,5.23404255319149,17.7234042553191,0.148936170212766,0.106382978723404,0,0.0851063829787234
"89",-73.981935588307,40.7688756458645,51.6222222222222,0.0604792409963968,40.7685897726526,-73.9817398710874,40.7691615190763,-73.9821313055267,6.26666666666667,24.8888888888889,5.15555555555556,5.6,0.133333333333333,0.133333333333333,0.0444444444444444,0.333333333333333,0.533333333333333,0.155555555555556
"90",-74.0058623240917,40.706952409939,29.5076923076923,0.0485394370069924,40.7068687190763,-74.0061215107525,40.7070361008017,-74.0056031374309,2.13846153846154,25,0.615384615384615,1.16923076923077,0,0,0,0.0461538461538462,0,0.0615384615384615
"91",-73.9300326263102,40.8670619962531,36.8717948717949,0.056348724958827,40.8668645970712,-73.9302251482544,40.867259395435,-73.929840104366,0.948717948717949,22.4358974358974,0,0,0,0,0,0,0,0
"92",-74.0199045741343,40.7273164069489,12,0.025512110756777,40.7272794586049,-74.0196664911275,40.7273533552929,-74.0201426571412,2.16666666666667,25,1.27777777777778,4.77777777777778,0.611111111111111,42.3333333333333,2.38888888888889,0.333333333333333,3.22222222222222,1.72222222222222
"93",-73.990004335068,40.7473090252083,46,0.0833872830743181,40.7469326973014,-73.9896365993072,40.7476853531151,-73.9903720708286,97.21875,25,23.375,62.03125,7.5625,12.625,0.0625,1.59375,12.6875,11.84375
"94",-73.9284734305737,40.8540147259291,42.3529411764706,0.0989752969166314,40.8535107987945,-73.9284242562123,40.8545186530637,-73.928522604935,1,25,0,0,0,0,0,0,0,0
"95",-73.938853569849,40.8490796634629,38.0135135135135,0.0523056329025661,40.8489738794518,-73.9388738331542,40.8491854474739,-73.9388333065439,1.36486486486486,21.5540540540541,0,0,0,0,0,0,0,0
"96",-73.979413187432,40.7496790995333,33.8103448275862,0.0498625576048089,40.7496202163234,-73.9797396181616,40.7497379827431,-73.9790867567023,5.67241379310345,25,16.2586206896552,54.7931034482759,4.5,2.13793103448276,0.0344827586206897,0.517241379310345,1.46551724137931,2.17241379310345
"97",-73.9905666330927,40.7181889908754,35.5333333333333,0.0520729803767461,40.7179850494865,-73.9907401159232,40.7183929322642,-73.990393150262,2.73333333333333,25,1.53333333333333,2.48333333333333,0.0333333333333333,0.0333333333333333,0,0.166666666666667,0.45,0.0666666666666667
"98",-73.9845413720459,40.7591213852122,46.1794871794872,0.0822197751375957,40.7587627313302,-73.9841657844009,40.7594800390942,-73.9849169596909,12.8974358974359,25,7.28205128205128,6.66666666666667,0.102564102564103,0.0512820512820513,0,0.0769230769230769,0.487179487179487,0
"99",-73.9571985154469,40.8158571963301,45.2444444444444,0.0450837690366291,40.8156037253849,-73.9571697012477,40.8161106672753,-73.957227329646,2.55555555555556,25,1.02222222222222,0.488888888888889,0,0,0,0.0888888888888889,0,0
"100",-74.0032329620583,40.7336558752179,29.2340425531915,0.0542821350720493,40.7335595149473,-74.0029681463152,40.7337522354886,-74.0034977778015,3.78723404255319,22.1276595744681,12.936170212766,1.21276595744681,0,0,0,0.127659574468085,0.340425531914894,0.0851063829787234
"101",-73.9795287451783,40.7156594216378,40.1578947368421,0.0358118053202569,40.7156215676679,-73.9797339203972,40.7156972756077,-73.9793235699594,0.333333333333333,28.6842105263158,0.157894736842105,0.087719298245614,0.0175438596491228,0,0,0.0175438596491228,0,0
"102",-73.9471196019374,40.8046708207352,36.8,0.0704370180371489,40.8043564402227,-73.9468377080296,40.8049852012478,-73.9474014958452,1.5,25,0.075,0.35,0,0,0,0.05,0,0
"103",-73.9694129325226,40.7481402686148,30.453125,0.057386380058814,40.7481020441304,-73.9697428227176,40.7481784930992,-73.9690830423277,20.296875,25.234375,36.25,34.453125,1.53125,18.21875,16.96875,1.609375,1.9375,5.25
"104",-74.0075156595241,40.7436187649025,41.9302325581395,0.0529241221821061,40.7433691763161,-74.0073197078502,40.743868353489,-74.0077116111979,2.23255813953488,30.8139534883721,1.41860465116279,0.953488372093023,0,0.0232558139534884,0,0,0,0
"105",-73.946284271446,40.8128571399308,43.1428571428571,0.0598575447980807,40.8125759002449,-73.9461123278268,40.8131383796168,-73.9464562150653,1.2,25,0.257142857142857,0.0571428571428571,0,0,0,0,0,0
"106",-73.9974354713779,40.7645935273263,41.7547169811321,0.067998648817332,40.7644083764562,-73.9972280815256,40.7647786781964,-73.9976428612303,3.66037735849057,34.811320754717,1.22641509433962,1.18867924528302,0.0188679245283019,0.0188679245283019,0,0,0,0
"107",-73.9586413427587,40.780936367084,40.3255813953488,0.0666749891086015,40.7808279824195,-73.959010310742,40.7810447517484,-73.9582723747755,2.48837209302326,25,1.55813953488372,1.67441860465116,0,0.0465116279069767,0,0.0232558139534884,0.0930232558139535,0.116279069767442
"108",-73.9904446709916,40.7297052385923,37.9672131147541,0.0465941550034577,40.7296628760386,-73.9907480692915,40.7297476011459,-73.9901412726917,2.36065573770492,25,3.70491803278689,4.68852459016393,0.0163934426229508,0.0655737704918033,0,0.245901639344262,0.229508196721311,0.163934426229508
"109",-73.9964349261745,40.7163733663398,37.7333333333333,0.0554155362607007,40.7161850272568,-73.9965125911541,40.7165617054229,-73.9963572611949,3.53333333333333,27.4444444444444,0.177777777777778,7,0.0222222222222222,0,0,0,0,0.0222222222222222
"110",-73.9397572471929,40.8396696206031,41.7333333333333,0.0563832443738178,40.8393837971806,-73.9396244683456,40.8399554440256,-73.9398900260402,1.21666666666667,25,0,0,0,0,0,0,0,0
"111",-74.0120232382641,40.7141386980387,39.5454545454545,0.0582767941471168,40.7138377368278,-74.011859169903,40.7144396592496,-74.0121873066253,1.81818181818182,25,1.51515151515152,1.12121212121212,0,0,0,0,0,0
"112",-73.9836635442733,40.7423268487141,38.5,0.0564439157928328,40.7422745374089,-73.9840392411347,40.7423791600192,-73.9832878474118,2.56,25,0.2,0.92,0.02,0,0,0.02,0,0
"113",-73.9249418300802,40.7994280752146,28.9180327868852,0.0313561827541726,40.79949593364,-73.9250060465548,40.7993602167894,-73.9248776136057,0.245901639344262,29.1803278688525,0.819672131147541,0,0,1.18032786885246,0.0491803278688525,0.0163934426229508,0,0.0327868852459016
"114",-73.9324629866003,40.7961035846146,45.2105263157895,0.0841526766320276,40.7960010942631,-73.93296917152,40.7962060749661,-73.9319568016807,4.34210526315789,30.1315789473684,2.65789473684211,0.394736842105263,0,2.63157894736842,1.21052631578947,0.105263157894737,0,0.0789473684210526
"115",-73.9939830771425,40.7697897267373,38.7142857142857,0.0691204499251123,40.7694797310914,-73.9938029821883,40.7700997223831,-73.9941631720967,2.28571428571429,37.5892857142857,1.66071428571429,1.57142857142857,0.0357142857142857,0.267857142857143,0.0535714285714286,0.0357142857142857,0,0.0178571428571429
"116",-73.9152659144523,40.8700968678056,44.2413793103448,0.0554300777000383,40.8698429656248,-73.9151980330067,40.8703507699863,-73.915333795898,1.13793103448276,23.9655172413793,0,0,0,0,0,0,0,0
"117",-74.00389476133,40.7116836156032,27.2875,0.0329159364808105,40.7116545406052,-74.003989936964,40.7117126906013,-74.003799585696,1.7625,27.1875,4.0875,0.6125,0,0.025,0.2875,0.075,0.2875,0.0125
"118",-74.002654238391,40.7595472347868,40.75,0.0496948834444288,40.7593117564967,-74.0025589047737,40.7597827130769,-74.0027495720082,7.0625,32.9166666666667,26.6875,5.04166666666667,18.75,40.4375,1.95833333333333,0.0833333333333333,0,0.0833333333333333
"119",-73.9689820312698,40.8023145624733,35.1739130434783,0.0776912044507442,40.8018688736858,-73.9690643452662,40.8027602512608,-73.9688997172735,0.739130434782609,25,1.73913043478261,0.5,0.0652173913043478,0.0869565217391304,0,0.0434782608695652,0,0.0217391304347826
"120",-73.9918843311401,40.7095663597823,31.4,0.0362595128105017,40.7097287883083,-73.992064963244,40.7094039312563,-73.9917036990361,14.7142857142857,31.7142857142857,52.5428571428571,6.62857142857143,0.0142857142857143,11.0857142857143,10.8571428571429,0.757142857142857,0.4,0.614285714285714
"121",-73.9445177358284,40.8268470235665,41.5135135135135,0.0713413878803814,40.8265010287019,-73.9443566762399,40.8271930184311,-73.9446787954168,2.35135135135135,25,8.94594594594595,0.027027027027027,0,0.027027027027027,0,0.162162162162162,0.162162162162162,0.0810810810810811
